ID Articolo,Titolo,URL,Cluster Originale,Label Tema,Label Sintetica (Alias),Categoria Formale,Tag e categorie Originali,Ruolo Editoriale
43,Ombre e luci?,https://www.ombreeluci.it/?p=43,T20,Domande aperte,Domande aperte,Editoriale,Tag: riflessioni; speranza; scoperta dell'handicap | Categorie: Riflessioni; N. 1; Editoriali,trasversale
65,Editoriale n.1,https://www.ombreeluci.it/?p=65,T20,Domande aperte,Domande aperte,Editoriale,Categorie: N. 1; Editoriali,trasversale
67,L’esperienza della solitudine,https://www.ombreeluci.it/?p=67,T20,Domande aperte,Domande aperte,Testimonianza,Tag: solitudine; sofferenza; scoperta della disabilità; genitori | Categorie: N. 1; Testimonianze,trasversale
76,Difficoltà loro o nostra?,https://www.ombreeluci.it/?p=76,T20,Domande aperte,Domande aperte,Articolo,Tag: riflessioni; chiesa e disabilità; sacramenti; comunione | Categorie: Catechesi; N. 1,trasversale
88,Ti aspetto sempre,https://www.ombreeluci.it/?p=88,T20,Domande aperte,Domande aperte,Articolo,Tag: affettività; vita comunitaria; sessualità | Categorie: Affettività; N. 1; Jean Vanier,trasversale
224,"""Il mio bambino con la sindrome di Down""",https://www.ombreeluci.it/?p=224,T20,Domande aperte,Domande aperte,Editoriale,Tag: Sindrome di Down; trisomia 21; primo annuncio | Categorie: N. 4; Editoriali,trasversale
228,Vacanze con la differenza nel cuore,https://www.ombreeluci.it/?p=228,T20,Domande aperte,Domande aperte,Articolo,Tag: tempo libero; vacanze; campi fede e luce | Categorie: N. 3; Vacanze,trasversale
300,Nessuno aveva pensato che Patrick avrebbe preso parte alla gita,https://www.ombreeluci.it/?p=300,T20,Domande aperte,Domande aperte,Articolo,Tag: montagna possibile | Categorie: N. 3; Vacanze,trasversale
313,Con loro sono salito sul monte Méta,https://www.ombreeluci.it/?p=313,T20,Domande aperte,Domande aperte,Testimonianza,Tag: montagna possibile; vita comunitaria; amicizia; persone con disabilità | Categorie: N. 3; Testimonianze; Vacanze,trasversale
325,Per la prima volta lontano da me,https://www.ombreeluci.it/?p=325,T20,Domande aperte,Domande aperte,Articolo,Tag: autonomia; separazione; crescita; prime parole; mamma | Categorie: N. 3; Vacanze,trasversale
