wp_id,directus_id,forma,tema_label,categoria_menu,ruolo_editoriale,status,note
43,261fa864-2d32-44aa-8249-a4999201921d,Editoriale,Memoria e storia di Fede e Luce (opzionale),Storia,strutturale,dry,
65,5ca17502-ab97-455e-8c83-b92b9e68598c,Editoriale,Vivere la disabilità,Disabilità,trasversale,dry,
67,1f8b4102-6f81-463a-b9fa-339c7488eb3c,Testimonianza,"Famiglie, genitori, fratelli",Famiglie,trasversale,dry,
76,95559245-ba98-4e5d-8bda-dcc733501b58,Articolo,"Fede, Chiesa e spiritualità della fragilità",Fede,trasversale,dry,
88,a7dcb0a5-d70d-4897-94c3-fef26164b845,Articolo,Amicizia e relazioni autentiche,Relazioni,trasversale,dry,
224,60b49afc-5594-4406-a83d-e0473e872e2e,Editoriale,Vivere la disabilità,Disabilità,trasversale,dry,
228,beff6862-e36d-4de9-b7cb-c35643d62a68,Articolo,Vivere la disabilità,Disabilità,trasversale,dry,
300,b034f66d-a1d2-43e1-bc4f-e403a9dcc4f6,Articolo,Memoria e storia di Fede e Luce (opzionale),Storia,portante,dry,
313,4ddc6659-2e40-437f-91fa-aa16bf727352,Testimonianza,Memoria e storia di Fede e Luce (opzionale),Storia,trasversale,dry,
325,fac2bdd5-5a76-41f8-9234-7609d4a2283f,Articolo,Memoria e storia di Fede e Luce (opzionale),Storia,laterale,dry,
328,da1328bb-ec8b-4613-b6fe-485e897abd3e,Articolo,Memoria e storia di Fede e Luce (opzionale),Storia,portante,dry,
330,658a7561-a915-4b89-99f1-aa3913fd5daa,Articolo,Memoria e storia di Fede e Luce (opzionale),Storia,trasversale,dry,
340,052c88ba-51ea-4459-95b1-8ebf9fd72ebd,Articolo,"Pellegrinaggi, cammini e vita comunitaria in movimento",Fede,trasversale,dry,
342,630799b8-b420-4fe4-b3cd-7f3bba2e6e36,Articolo,Vivere la disabilità,Disabilità,trasversale,dry,
353,09bb8253-671c-44ca-98c3-1f36fa63b36e,Editoriale,Memoria e storia di Fede e Luce (opzionale),Storia,laterale,dry,
371,c0001d20-ec47-4664-898e-d513fdf4c51e,Articolo,Vivere la disabilità,Disabilità,trasversale,dry,
603,424a88e9-37ef-46d6-8cf3-074252ea60a0,Articolo,"Fede, Chiesa e spiritualità della fragilità",Fede,trasversale,dry,
607,5e764b8d-6f87-4924-9943-f63559d76cb6,Articolo,Vivere la disabilità,Disabilità,laterale,dry,
609,2aaef25f-06cf-44ba-b4e7-4546c8f9df2f,Articolo,Vivere la disabilità,Disabilità,trasversale,dry,
612,a11af852-8363-492f-a7c7-0331127b9513,Articolo,Vivere la disabilità,Disabilità,laterale,dry,
617,bbcac4f4-0054-4ad5-a419-d5b041e5bba3,Articolo,Vivere la disabilità,Disabilità,trasversale,dry,
764,4aa0e462-84be-4c1d-8411-10b112b66b75,Editoriale,Memoria e storia di Fede e Luce (opzionale),Storia,strutturale,dry,
767,2f8919b5-7629-4d7f-be0a-0f546b5972ee,Articolo,Memoria e storia di Fede e Luce (opzionale),Storia,portante,dry,
774,71afbd0d-e71e-4b96-a9ee-a0db2493b883,Articolo,Memoria e storia di Fede e Luce (opzionale),Storia,portante,dry,
777,a8a3d258-7efb-4cab-81a8-9db1815e51fd,Articolo,Memoria e storia di Fede e Luce (opzionale),Storia,portante,dry,
981,437b29ba-62d9-47c3-b469-7567c3c48075,Articolo,Riflessioni,Riflessioni,portante,dry,
1183,721773cd-55c4-4bce-86d2-72ae44bc39e9,Articolo,Memoria e storia di Fede e Luce (opzionale),Storia,strutturale,dry,
1186,793d3ea3-5c9a-497c-8df3-e3a15b27479a,Testimonianza,Memoria e storia di Fede e Luce (opzionale),Storia,portante,dry,
1188,7454891a-94f3-4cd4-98c7-991b3dad5b67,Recensione,Memoria e storia di Fede e Luce (opzionale),Storia,laterale,dry,
1195,272b7a76-e296-4f92-bd71-9f4d48a4d13c,Testimonianza,"Linguaggio, cultura e rappresentazioni",Cultura,trasversale,dry,
1206,ddc043bf-ee02-413c-8512-81421c7ffabc,Articolo,Riflessioni,Riflessioni,portante,dry,
1211,05686c7b-75ce-4661-a8bd-a391af4cdd32,Articolo,Amicizia e relazioni autentiche,Relazioni,trasversale,dry,
1217,16087ec2-941a-497f-b965-9311fc2a448e,Articolo,Memoria e storia di Fede e Luce (opzionale),Storia,laterale,dry,
1223,720baf37-ed28-42c9-b9c5-aa82f848bcb6,Testimonianza,Memoria e storia di Fede e Luce (opzionale),Storia,strutturale,dry,
1410,47aac753-15b7-4f4b-ab5e-f813ee9347ac,Articolo,Riflessioni,Riflessioni,strutturale,dry,
1412,64b95e12-a2e1-442d-b6bc-8bc43d0840e8,Articolo,Memoria e storia di Fede e Luce (opzionale),Storia,portante,dry,
1414,83ca207a-4270-4763-8f91-1cd080694825,Articolo,Memoria e storia di Fede e Luce (opzionale),Storia,strutturale,dry,
1419,ad96ac25-c649-4297-acb3-c27cbb0a176d,Articolo,Memoria e storia di Fede e Luce (opzionale),Storia,strutturale,dry,
1421,d0de37ac-b5a8-4881-80dd-9f43bd7482d8,Articolo,Memoria e storia di Fede e Luce (opzionale),Storia,strutturale,dry,
1423,729bc212-9c72-4af1-bc55-43e73ca57dc3,Articolo,Amicizia e relazioni autentiche,Relazioni,trasversale,dry,
1425,65a190ca-0600-4ebe-b9d3-c9dede15ab43,Articolo,Memoria e storia di Fede e Luce (opzionale),Storia,portante,dry,
1435,aeea04fd-17ab-44c1-ad40-d63652e29163,Editoriale,Memoria e storia di Fede e Luce (opzionale),Storia,portante,dry,
1438,b1ff4fda-f1ed-41d8-ae91-d9b0c25e0b1b,Articolo,"Pellegrinaggi, cammini e vita comunitaria in movimento",Fede,trasversale,dry,
1440,245243d9-5744-4027-ad03-266a2db3ef89,Articolo,Memoria e storia di Fede e Luce (opzionale),Storia,strutturale,dry,
1442,9fc4edb2-b7d2-4411-97d8-39b5ae751c3e,Articolo,Memoria e storia di Fede e Luce (opzionale),Storia,portante,dry,
1444,afcacfcd-2e34-46d7-a457-4686fd1801b0,Articolo,Memoria e storia di Fede e Luce (opzionale),Storia,portante,dry,
1446,95d36d18-ced8-4539-9f1d-d764f1958282,Articolo,"Pellegrinaggi, cammini e vita comunitaria in movimento",Fede,laterale,dry,
1449,7db3520e-1f6b-4523-be85-0898371257b2,Articolo,Memoria e storia di Fede e Luce (opzionale),Storia,trasversale,dry,
1451,f95c3e2c-d241-4162-91df-b620cb076ef3,Articolo,Memoria e storia di Fede e Luce (opzionale),Storia,laterale,dry,
1453,e06b0185-c027-4135-87af-ad166baad604,Articolo,"Pellegrinaggi, cammini e vita comunitaria in movimento",Fede,trasversale,dry,
1455,d1c6ad90-5480-4caa-9465-228b3b29b71a,Articolo,"Pellegrinaggi, cammini e vita comunitaria in movimento",Fede,laterale,dry,
1457,1a5c8c50-cb50-428c-b82c-0dabbf1cd8bf,Recensione,Educare e crescere insieme,Crescere,portante,dry,
