id_numero,directus_id,identifier,details_url,download_url,status,note
OEL-156,00dd1cda-d7cd-4a14-ab5f-7bbb4644a8aa,OmbreELuciN_156,https://archive.org/details/OmbreELuciN_156,https://archive.org/download/OmbreELuciN_156,ok,
OEL-159,0177ee45-7b8b-42ea-84ac-5ec59f825017,OmbreELuciN_159,https://archive.org/details/OmbreELuciN_159,https://archive.org/download/OmbreELuciN_159,ok,
OEL-13,0983938a-a002-46ac-b17e-58bd32babbf0,OmbreELuci_010_201712,https://archive.org/details/OmbreELuci_010_201712,https://archive.org/download/OmbreELuci_010_201712,ok,
OEL-161,09d2a76a-f405-4658-9f8e-8d218dff9248,OmbreELuciN_161,https://archive.org/details/OmbreELuciN_161,https://archive.org/download/OmbreELuciN_161,ok,
OEL-64,0bbe1e4d-2485-4852-9254-f81d40d51cb9,OmbreELuciN_64,https://archive.org/details/OmbreELuciN_64,https://archive.org/download/OmbreELuciN_64,ok,
OEL-12,0f33a545-3d3a-4734-8167-d81540aaa198,OmbreELuci_012,https://archive.org/details/OmbreELuci_012,https://archive.org/download/OmbreELuci_012,ok,
OEL-11,13bde349-8505-483c-a110-52e438293852,OmbreELuci_011,https://archive.org/details/OmbreELuci_011,https://archive.org/download/OmbreELuci_011,ok,
OEL-164,1f582024-88b8-41e0-a4c2-46ed6cda1839,OmbreELuciN_164,https://archive.org/details/OmbreELuciN_164,https://archive.org/download/OmbreELuciN_164,ok,
OEL-63,32298d18-dff2-4aae-bc03-f9bf23944a47,OmbreELuciN_63,https://archive.org/details/OmbreELuciN_63,https://archive.org/download/OmbreELuciN_63,ok,
OEL-136,4bcad427-c3c2-402f-8cfe-71ae6ea70717,OmbreELuciN_136,https://archive.org/details/OmbreELuciN_136,https://archive.org/download/OmbreELuciN_136,ok,
OEL-34,4c22c071-e0ce-4c22-875a-5ff874d27262,OmbreELuci_34,https://archive.org/details/OmbreELuci_34,https://archive.org/download/OmbreELuci_34,ok,
OEL-66,4ec212c4-afee-4768-bd11-301309ed9bb2,OmbreELuciN_66,https://archive.org/details/OmbreELuciN_66,https://archive.org/download/OmbreELuciN_66,ok,
OEL-172,588920a7-542e-4c51-ac41-af8942275264,,,,no_archive,
OEL-3,5c18c6e6-054b-41db-968f-c525ffaa5d6c,OmbreELuci_003,https://archive.org/details/OmbreELuci_003,https://archive.org/download/OmbreELuci_003,ok,
OEL-166,6b67b6f1-de19-46fd-a62d-be70752b8489,OmbreELuciN_166,https://archive.org/details/OmbreELuciN_166,https://archive.org/download/OmbreELuciN_166,ok,
OEL-132,73e73def-6baa-44c1-a92b-b9c974560d46,OmbreeLuci_132,https://archive.org/details/OmbreeLuci_132,https://archive.org/download/OmbreELuci_002,ok,
OEL-9,7b5f0bde-f779-4850-b19b-089b973fb7eb,Httpsarchive.orgdetailsOmbreELuci_009,https://archive.org/details/Httpsarchive.orgdetailsOmbreELuci_009,https://archive.org/download/Httpsarchive.orgdetailsOmbreELuci_009,ok,
OEL-135,7c7140e3-6d44-4d14-82d3-fc32db6b01fc,OmbreELuciN_135,https://archive.org/details/OmbreELuciN_135,https://archive.org/download/OmbreELuciN_135,ok,
OEL-165,7d84b1ce-f121-4c00-b5c0-27d92ddc4401,OmbreELuciN_165,https://archive.org/details/OmbreELuciN_165,https://archive.org/download/OmbreELuciN_165,ok,
OEL-8,9311f77a-6355-48c7-8332-f2edddf84b2c,OmbreELuci_008,https://archive.org/details/OmbreELuci_008,https://archive.org/download/OmbreELuci_008,ok,
