id,slug,titolo,lang_current,lang_detected,action
00043fb3-65a5-4d82-8506-01cc9f662990,lanno-della-disabilita-nelle-serie-tv,La disabilità nelle serie tv,it,it,ok_no_change
000c0b5f-86b8-4d9c-acdd-9d82b9311dd7,pablo-che-vede-il-mondo-a-modo-suo,"Pablo, che vede il mondo a modo suo",it,it,ok_no_change
001b7b7e-7055-4dc4-a8c6-7b5f18139e4e,ndoto-ya-samira-il-sogno-di-samira-recensione,"Samira, quando il cinema influenza la vita vera",en,it,PATCH_IT
002d4d0f-53ec-43dc-8717-f6591b260f77,la-grande-casa-di-peter-pan,La grande casa di Peter Pan,it,it,ok_no_change
0031a4c4-1bb1-4a61-9664-cf8975e9255e,bologna-to-rome-pedaling-possibilities-in-the-rainbow-commun,Bologna to Rome: Pedaling Possibilities in The Rainbow Community's Tan,en,en,ok_no_change
003a7fcb-6dcf-4d4c-8747-60111f174ff6,dialogo-aperto-n-143,Dialogo aperto n.143,it,it,ok_no_change
004354e2-1f34-478b-8d60-140298bc0122,le-bambine-africane-sono-una-festa-di-treccine,Le bambine africane sono una festa di treccine,it,it,ok_no_change
0053b93f-527a-45bc-9a1f-1b9cc76c4a88,pagine-di-caduta-e-ripresa,Pagine di caduta e ripresa,it,it,ok_no_change
0081e04a-648c-49fa-8ccf-21cd88bc50dc,nostalgia-di-comunione-nuovi-movimenti-sette-cristiane-o-seg,Nostalgia di Comunione - Nuovi movimenti: sette cristiane o segni dell,it,it,ok_no_change
0096aa03-dc71-42eb-b3d6-04f88db6a338,dialogo-aperto-n-53,Dialogo aperto n.53,it,it,ok_no_change
00b6677a-38b2-43db-a97d-5dbbb36878de,dialogo-aperto-n-136,Dialogo aperto n.136,it,it,ok_no_change
00b855b4-1b94-4815-b2ca-e23479dad816,crescere-con-il-lavoro,Crescere con il lavoro,it,it,ok_no_change
00b91bad-8501-4f1c-94b2-881b479ca8eb,dialogo-aperto-n-165,Dialogo Aperto n. 165,it,it,ok_no_change
00cbad1a-5643-457a-8ae9-d0099362b52a,il-mio-primo-tuffo,Il mio primo tuffo,it,it,ok_no_change
00cd8bf8-ea7f-435b-b850-05ba49374771,catechesi-per-disabili-a-roma-un-percorso-formativo,Catechesi per disabili: a Roma un percorso formativo,it,it,ok_no_change
00db1113-5e26-4953-9d1f-499ddbc60521,3-i-protagonisti-i-volti-di-fede-e-luce-persona-con-disabili,"3. I protagonisti- I volti di Fede e Luce: handicappati, genitori, ami",it,it,ok_no_change
00e21284-b09d-408f-a2d9-ab145a528102,giovanissimi-n-7,Giovanissimi n.7,it,it,ok_no_change
00f4b82f-7f43-4f70-b89c-3c02257161e6,mangiare-insieme,Mangiare insieme,it,it,ok_no_change
00f4e655-4f85-4338-ac8d-8f97957423b0,dialogo-aperto-n-109,Dialogo Aperto n.109,it,it,ok_no_change
00fef3c7-6f07-45d4-b610-ef5273d84832,joyeux-noel-2,Joyeux Noël!,it,it,ok_no_change
012c99de-a27e-4f63-b43e-8e0c14c7b6a6,se-aspetto-poco-poco-arriva-la-risposta,"Se aspetto poco poco, arriva la risposta",it,it,ok_no_change
0143728c-2810-41d1-965e-0ac9b83dd881,il-nostro-autismo-quotidiano-storie-di-genitori-e-figli-rece,Il nostro autismo quotidiano: Storie di genitori e figli - Recensione,it,it,ok_no_change
01754eab-906a-4825-b35b-a69130fbffa7,storia-di-un-padre,Storia di un padre,it,it,ok_no_change
017f58e0-dd07-447f-a0ac-1d16e90e72e3,14-giochi-da-fare-insieme,14 giochi da fare insieme,it,it,ok_no_change
01985697-2281-4344-885a-fcad8f84de16,forza-venite-gente,Forza venite gente,it,it,ok_no_change
01b01e50-b60a-4f65-9d66-1de23be0d964,adesso-saremo-tutti-diversi,Adesso saremo tutti diversi,it,it,ok_no_change
01b82250-16c2-4e98-ad89-d7b5d1e0b83d,esperienze-un-week-end-fuori-dallordinario,Esperienze: un week-end fuori dall'ordinario,it,it,ok_no_change
01c65522-e584-4199-b98b-c17188bfc8b0,vocazione-di-fede-e-luce,La vocazione di Fede e Luce,it,it,ok_no_change
01ca4a4b-3dba-46d8-bf6b-08532ac1bbd3,scuola-e-disabilita-dallosservatorio-scolastico-deir-ai-as-d,Scuola e disabilità: dall’Osservatorio Scolastico deir AI AS di Milano,it,it,ok_no_change
01e61c58-8d03-475d-9f6d-20f7d946983e,il-progetto-dandelion,Germogliare da un dente di leone,it,it,ok_no_change
021db852-2230-4f61-b5bb-dc3c599b0306,ci-hanno-scritto-insieme-n-28,Ci hanno scritto - Insieme n.28,it,it,ok_no_change
022678c5-2429-4596-9cd1-b5f579c3398f,cinema-e-disabilita-i-3-film-di-enrica-riera,Cinema e disabilità: i 3 film di Enrica Riera,en,it,PATCH_IT
022ab78d-54b0-4dc6-8171-7c1e142c9a02,un-antidoto-alla-disperazione,Un antidoto alla disperazione,it,it,ok_no_change
