autore_slug,foto_uuid,r2_key,esito,dettaglio
serena-sillitto,6a70845f-c1c6-4870-96a5-cd3af94f0138,autori/6a70845f-c1c6-4870-96a5-cd3af94f0138,dry-run,
angela-grassi,e8fe2d83-1b6a-4797-b118-c24009bc332b,autori/e8fe2d83-1b6a-4797-b118-c24009bc332b,dry-run,
alejandra-del-mar-catapano,1324e099-e280-4c8c-9650-fa64974659c4,autori/1324e099-e280-4c8c-9650-fa64974659c4,dry-run,
rita-ozzimo,fe7cf223-99ec-48c1-8e89-747f7c631a65,autori/fe7cf223-99ec-48c1-8e89-747f7c631a65,dry-run,
mons-alberto-g-bochatey,47efac0c-06b7-4548-9d72-08d2249fd51d,autori/47efac0c-06b7-4548-9d72-08d2249fd51d,dry-run,
lucia-bertolini,dbd66d44-f4eb-486f-a331-0972132205fe,autori/dbd66d44-f4eb-486f-a331-0972132205fe,dry-run,
don-stefano-buttinoni,1af8f184-ea33-47c9-b66e-39e6a99a1e6e,autori/1af8f184-ea33-47c9-b66e-39e6a99a1e6e,dry-run,
stefano-artero,1a3f2240-f5fa-4d5e-8795-6a4a883a9cda,autori/1a3f2240-f5fa-4d5e-8795-6a4a883a9cda,dry-run,
fabio-bronzini,05e453e7-6029-4377-8295-76f2a8281a77,autori/05e453e7-6029-4377-8295-76f2a8281a77,dry-run,
chiara-gatti,fadcca69-6e04-4baa-948d-d6898e1889f2,autori/fadcca69-6e04-4baa-948d-d6898e1889f2,dry-run,
benedetta-bertolini,3b8fbe8a-ff8c-4dd8-811d-76524f0638db,autori/3b8fbe8a-ff8c-4dd8-811d-76524f0638db,dry-run,
marco-bove,c419af04-b0b7-490f-8ddc-db939ca34e67,autori/c419af04-b0b7-490f-8ddc-db939ca34e67,dry-run,
redazione,cd64a940-61ff-4bfe-b424-b5a4cb31eb5d,autori/cd64a940-61ff-4bfe-b424-b5a4cb31eb5d,dry-run,
mariangela-bertolini,589eebe0-4bb8-46c6-9089-bf12b1c7a59a,autori/589eebe0-4bb8-46c6-9089-bf12b1c7a59a,dry-run,
alessandro-de-simone,ceda17d3-e4cf-4763-89c4-9e688f92b89e,autori/ceda17d3-e4cf-4763-89c4-9e688f92b89e,dry-run,
nicole-schulthes,d694f218-10d0-4cf8-9e14-f9c3051aeb08,autori/d694f218-10d0-4cf8-9e14-f9c3051aeb08,dry-run,
pietro-vetro,979fe897-d187-4d08-b635-d31fe441bb11,autori/979fe897-d187-4d08-b635-d31fe441bb11,dry-run,
mario-collino,8ed239b7-97e2-4229-9056-b645e758d9df,autori/8ed239b7-97e2-4229-9056-b645e758d9df,dry-run,
alessandra-conicchioli,659c733d-1e8e-4a5e-8f0b-0be43b477fc1,autori/659c733d-1e8e-4a5e-8f0b-0be43b477fc1,dry-run,
armando-d-amato,c8afe623-8b9d-4c07-b32f-16a3ceed907f,autori/c8afe623-8b9d-4c07-b32f-16a3ceed907f,dry-run,
carlo-gazzano,80b8d263-1912-47d6-9890-d37849207f76,autori/80b8d263-1912-47d6-9890-d37849207f76,dry-run,
