autore_slug,foto_uuid,r2_key,esito,dettaglio
serena-sillitto,6a70845f-c1c6-4870-96a5-cd3af94f0138,autori/6a70845f-c1c6-4870-96a5-cd3af94f0138,ok,89001 bytes
angela-grassi,e8fe2d83-1b6a-4797-b118-c24009bc332b,autori/e8fe2d83-1b6a-4797-b118-c24009bc332b,ok,35422 bytes
alejandra-del-mar-catapano,1324e099-e280-4c8c-9650-fa64974659c4,autori/1324e099-e280-4c8c-9650-fa64974659c4,ok,47387 bytes
rita-ozzimo,fe7cf223-99ec-48c1-8e89-747f7c631a65,autori/fe7cf223-99ec-48c1-8e89-747f7c631a65,ok,57979 bytes
mons-alberto-g-bochatey,47efac0c-06b7-4548-9d72-08d2249fd51d,autori/47efac0c-06b7-4548-9d72-08d2249fd51d,ok,10965 bytes
lucia-bertolini,dbd66d44-f4eb-486f-a331-0972132205fe,autori/dbd66d44-f4eb-486f-a331-0972132205fe,ok,14497 bytes
don-stefano-buttinoni,1af8f184-ea33-47c9-b66e-39e6a99a1e6e,autori/1af8f184-ea33-47c9-b66e-39e6a99a1e6e,ok,98047 bytes
stefano-artero,1a3f2240-f5fa-4d5e-8795-6a4a883a9cda,autori/1a3f2240-f5fa-4d5e-8795-6a4a883a9cda,ok,41272 bytes
fabio-bronzini,05e453e7-6029-4377-8295-76f2a8281a77,autori/05e453e7-6029-4377-8295-76f2a8281a77,ok,10022 bytes
chiara-gatti,fadcca69-6e04-4baa-948d-d6898e1889f2,autori/fadcca69-6e04-4baa-948d-d6898e1889f2,ok,19434 bytes
benedetta-bertolini,3b8fbe8a-ff8c-4dd8-811d-76524f0638db,autori/3b8fbe8a-ff8c-4dd8-811d-76524f0638db,ok,62538 bytes
marco-bove,c419af04-b0b7-490f-8ddc-db939ca34e67,autori/c419af04-b0b7-490f-8ddc-db939ca34e67,ok,43142 bytes
redazione,cd64a940-61ff-4bfe-b424-b5a4cb31eb5d,autori/cd64a940-61ff-4bfe-b424-b5a4cb31eb5d,ok,2637 bytes
mariangela-bertolini,589eebe0-4bb8-46c6-9089-bf12b1c7a59a,autori/589eebe0-4bb8-46c6-9089-bf12b1c7a59a,ok,90212 bytes
alessandro-de-simone,ceda17d3-e4cf-4763-89c4-9e688f92b89e,autori/ceda17d3-e4cf-4763-89c4-9e688f92b89e,ok,174352 bytes
nicole-schulthes,d694f218-10d0-4cf8-9e14-f9c3051aeb08,autori/d694f218-10d0-4cf8-9e14-f9c3051aeb08,ok,45492 bytes
pietro-vetro,979fe897-d187-4d08-b635-d31fe441bb11,autori/979fe897-d187-4d08-b635-d31fe441bb11,ok,63313 bytes
mario-collino,8ed239b7-97e2-4229-9056-b645e758d9df,autori/8ed239b7-97e2-4229-9056-b645e758d9df,ok,10024 bytes
alessandra-conicchioli,659c733d-1e8e-4a5e-8f0b-0be43b477fc1,autori/659c733d-1e8e-4a5e-8f0b-0be43b477fc1,ok,31948 bytes
armando-d-amato,c8afe623-8b9d-4c07-b32f-16a3ceed907f,autori/c8afe623-8b9d-4c07-b32f-16a3ceed907f,ok,69461 bytes
carlo-gazzano,80b8d263-1912-47d6-9890-d37849207f76,autori/80b8d263-1912-47d6-9890-d37849207f76,ok,41390 bytes
efrem-sardella,7c12a16e-3da2-48d1-89ac-0f4b994a3109,autori/7c12a16e-3da2-48d1-89ac-0f4b994a3109,ok,59353 bytes
andrea-lonardo,15dcdc5f-357f-460c-bc71-8556bc344412,autori/15dcdc5f-357f-460c-bc71-8556bc344412,ok,17725 bytes
paolo-tantaro,03739dd8-fef5-4063-957e-0feb754a0aaf,autori/03739dd8-fef5-4063-957e-0feb754a0aaf,ok,60613 bytes
huberta-pott,a120801d-e46d-4a8d-a6b4-f7f1f8555746,autori/a120801d-e46d-4a8d-a6b4-f7f1f8555746,ok,103363 bytes
angelo-colacino,41bb7280-c68a-4d7f-bb70-16bdf09be8cf,autori/41bb7280-c68a-4d7f-bb70-16bdf09be8cf,ok,67184 bytes
silvia-freschi,c88682e3-904e-4a8d-9b0a-d6fc6307b7eb,autori/c88682e3-904e-4a8d-9b0a-d6fc6307b7eb,ok,74212 bytes
stefano-atzeni,6cbc6478-e912-4ce9-971f-5b59580d11a4,autori/6cbc6478-e912-4ce9-971f-5b59580d11a4,ok,9739 bytes
marie-francoise-friquette-heyndrickx,c710fcb5-0a17-4844-8f7c-33630eff9e57,autori/c710fcb5-0a17-4844-8f7c-33630eff9e57,ok,99904 bytes
mauro-santoro,2d60e4c3-cb5f-4262-932d-4692cb9c49ed,autori/2d60e4c3-cb5f-4262-932d-4692cb9c49ed,ok,5042 bytes
benoit-malveaux,7d956920-e9e2-4d27-9058-e2f08f6e312d,autori/7d956920-e9e2-4d27-9058-e2f08f6e312d,ok,54616 bytes
luciana-spigolon,e955eabb-c710-48a9-b070-41539845b0c2,autori/e955eabb-c710-48a9-b070-41539845b0c2,ok,56470 bytes
