wp_id,id_numero,r2_key,wp_src,esito,dettaglio
6332,OEL-20,numeri/6332.jpg,http://www.ombreeluci.it/wp-content/uploads/2017/10/Copertina_OeL_20_1987.jpg,dry-run,
7097,OEL-27,numeri/7097.jpg,http://www.ombreeluci.it/wp-content/uploads/2017/10/Copertina_OeL_27_1989.jpg,dry-run,
7187,OEL-28,numeri/7187.jpg,http://www.ombreeluci.it/wp-content/uploads/2017/10/Copertina_OeL_28_1989.jpg,dry-run,
6972,OEL-26,numeri/6972.jpg,http://www.ombreeluci.it/wp-content/uploads/2017/10/Copertina_OeL_26_1989.jpg,dry-run,
517,OEL-3,numeri/517.jpg,http://www.ombreeluci.it/wp-content/uploads/2017/10/3.jpeg,dry-run,
543,OEL-1,numeri/543.jpg,http://www.ombreeluci.it/wp-content/uploads/2017/10/1-1.jpg,dry-run,
548,OEL-2,numeri/548.jpg,http://www.ombreeluci.it/wp-content/uploads/2017/10/2-1.jpg,dry-run,
10187,ombre-e-luci-n-52-sacramenti-segni-di-gesu-per-noi,numeri/10187.jpg,http://www.ombreeluci.it/wp-content/uploads/2017/10/Copertina_OeL_52_1995.jpg,dry-run,
592,OEL-4,numeri/592.jpg,http://www.ombreeluci.it/wp-content/uploads/2017/10/3-1.jpg,dry-run,
794,OEL-5,numeri/794.jpg,http://www.ombreeluci.it/wp-content/uploads/2017/10/5-1.jpg,dry-run,
1040,OEL-6,numeri/1040.jpg,http://www.ombreeluci.it/wp-content/uploads/2017/10/6-1.jpg,dry-run,
1984,OEL-7,numeri/1984.jpg,http://www.ombreeluci.it/wp-content/uploads/2017/10/Copertina_OeL_7_1984.jpg,dry-run,
2016,OEL-8,numeri/2016.jpg,http://www.ombreeluci.it/wp-content/uploads/2017/10/Copertina_OeL_8_1984.jpg,dry-run,
2022,OEL-9,numeri/2022.jpg,http://www.ombreeluci.it/wp-content/uploads/2017/10/Copertina_OeL_9_1985.jpg,dry-run,
2024,OEL-10,numeri/2024.jpg,http://www.ombreeluci.it/wp-content/uploads/2017/10/Copertina_OeL_10_1985.jpg,dry-run,
