id,slug,lang,categoria_old,categoria_new,action,note
3036f279-5bf3-404f-8b24-3c6b240831c9,joseph-ha-fatto-la-prima-comunione,it,Fede e Luce,fede-e-luce,dry,
7b778942-e516-4b7b-b71a-cee8c9b92371,ci-hanno-scritto,it,Spiritualità,spiritualita,dry,
7c8721c1-b15a-4f72-8530-6750b7bf877e,come-loro,it,Fede e Luce,fede-e-luce,dry,
0a9df56e-c162-41b9-9704-c761492729f9,i-bambini-di-tutti,it,Spiritualità,spiritualita,dry,
b88d8aee-1e34-4716-9a18-d71a05aa27af,insieme-primo-articolo,it,Fede e Luce,fede-e-luce,dry,
c0b66341-8f4a-42f8-93ef-871f3d77b28a,come-fai-a-credere-alla-madonna,it,Fede e Luce,fede-e-luce,dry,
2a96fe6d-74b9-4b9f-a48c-78e63df7b430,la-paura-degli-altri,it,Fede e Luce,fede-e-luce,dry,
461bff80-badb-4f49-b17d-28c2f06f83c7,fede-e-luce,it,Fede e Luce,fede-e-luce,dry,
025ac8ca-fe22-4bd5-8e1a-12ce8a178d72,lettera-ai-giovani,it,Educazione e Formazione,,unknown,Valore non mappato: 'Educazione e Formazione' — aggiungere a categorie.json o assegnare manualmente
d7923ee6-003e-4ccd-a7e4-186f5b84113c,cecilia-una-esperienza,it,Tempo libero,,unknown,Valore non mappato: 'Tempo libero' — aggiungere a categorie.json o assegnare manualmente
ca2e59f8-1447-4d3b-b00c-f3437aae93f8,giovanissimi,it,Educazione e Formazione,,unknown,Valore non mappato: 'Educazione e Formazione' — aggiungere a categorie.json o assegnare manualmente
4a17d0f6-f78b-494e-b34b-780fbdb7fd70,avevano-bisogno-di-noi,it,Spiritualità,spiritualita,dry,
a643f81a-eec2-4bc1-b5f6-255a0136d66a,resoconti-degli-incontri-fede-e-luce,it,Fede e Luce,fede-e-luce,dry,
d93f4ba3-267a-4554-ba8c-042bc768c432,buon-natale-antico-corale-trascritto-da-un-bambino,it,Spiritualità,spiritualita,dry,
eea3c50b-7ce3-4a3e-b4a6-b90ccf9e8c40,giovanissimi-n-3,it,Educazione e Formazione,,unknown,Valore non mappato: 'Educazione e Formazione' — aggiungere a categorie.json o assegnare manualmente
071f81ec-da06-4a40-9b57-90061364f23d,noris,it,Spiritualità,spiritualita,dry,
8f6993d9-c794-4bee-82ba-03df5a567163,sono-tornato-stasera,it,Fede e Luce,fede-e-luce,dry,
d902ca01-8eae-4683-bef2-bc5e86b43bf7,ci-ha-scritto-la-mamma-di-roberto,it,Spiritualità,spiritualita,dry,
bf8e4862-471d-4d2e-adc9-1481a853ffc0,pellegrinaggio-a-roma-con-foi-et-lumiere,it,Fede e Luce,fede-e-luce,dry,
5515a544-0e30-4ece-96a8-a1845c97672f,integrazione-nelle-scuole-pro-e-contro,it,Scuola,,unknown,Valore non mappato: 'Scuola' — aggiungere a categorie.json o assegnare manualmente
