wp_id,articolo_uuid,id_numero,numero_uuid,action,status,note
6344,,OEL-20,,set,dry,
6346,,OEL-20,,set,dry,
6350,,OEL-20,,set,dry,
6352,,OEL-20,,set,dry,
6361,,OEL-20,,set,dry,
6357,,OEL-20,,set,dry,
6337,,OEL-20,,set,dry,
43,,OEL-1,dry-uuid-oel-1,set,dry,
65,,OEL-1,dry-uuid-oel-1,set,dry,
67,,OEL-1,dry-uuid-oel-1,set,dry,
76,,OEL-1,dry-uuid-oel-1,set,dry,
88,,OEL-1,dry-uuid-oel-1,set,dry,
224,,OEL-4,,set,dry,
228,,OEL-3,,set,dry,
300,,OEL-3,,set,dry,
330,,OEL-3,,set,dry,
342,,OEL-3,,set,dry,
313,,OEL-3,,set,dry,
325,,OEL-3,,set,dry,
328,,OEL-3,,set,dry,
340,,OEL-3,,set,dry,
353,,OEL-3,,set,dry,
22764,,null,,null,dry,
22768,,null,,null,dry,
371,,OEL-3,,set,dry,
1217,,OEL-2,,set,dry,
6982,,OEL-26,,set,dry,
6991,,null,,null,dry,
7021,,OEL-26,,set,dry,
7027,,OEL-26,,set,dry,
7029,,OEL-26,,set,dry,
7036,,OEL-26,,set,dry,
7050,,OEL-26,,set,dry,
7052,,OEL-26,,set,dry,
7054,,OEL-26,,set,dry,
7059,,OEL-26,,set,dry,
7062,,OEL-26,,set,dry,
7074,,null,,null,dry,
7079,,null,,null,dry,
7103,,OEL-27,,set,dry,
9843,,null,,null,dry,
6988,,OEL-26,,set,dry,
6990,,OEL-26,,set,dry,
25267,,OEL-145,,set,dry,
7109,,OEL-27,,set,dry,
6976,,OEL-26,,set,dry,
603,,OEL-1,dry-uuid-oel-1,set,dry,
607,,OEL-2,,set,dry,
609,,OEL-2,,set,dry,
612,,OEL-2,,set,dry,
617,,OEL-2,,set,dry,
764,,OEL-132,,set,dry,
767,,OEL-132,,set,dry,
774,,OEL-132,,set,dry,
777,,OEL-132,,set,dry,
6984,,OEL-26,,set,dry,
981,,null,,null,dry,
1183,,OEL-132,,set,dry,
1186,,OEL-132,,set,dry,
1188,,OEL-2,,set,dry,
1195,,OEL-2,,set,dry,
1206,,null,,null,dry,
1211,,OEL-2,,set,dry,
1223,,OEL-2,,set,dry,
1410,,OEL-132,,set,dry,
1412,,OEL-132,,set,dry,
1414,,OEL-132,,set,dry,
1419,,OEL-132,,set,dry,
1421,,OEL-132,,set,dry,
1423,,OEL-132,,set,dry,
1425,,OEL-132,,set,dry,
1435,,OEL-131,,set,dry,
1438,,OEL-131,,set,dry,
