wp_id,articolo_uuid,id_numero,numero_uuid,action,status,note
3646,,OEL-100,,set,skip_no_num,OEL-100 non trovato in Directus
3648,,OEL-100,,set,skip_no_num,OEL-100 non trovato in Directus
3650,,OEL-100,,set,skip_no_num,OEL-100 non trovato in Directus
5597,,OEL-63,,set,skip_no_num,OEL-63 non trovato in Directus
5854,,OEL-52,,set,skip_no_num,OEL-52 non trovato in Directus
5844,,OEL-47,,set,skip_no_num,OEL-47 non trovato in Directus
5869,,OEL-64,,set,skip_no_num,OEL-64 non trovato in Directus
5879,,OEL-56,,set,skip_no_num,OEL-56 non trovato in Directus
6067,,OEL-64,,set,skip_no_num,OEL-64 non trovato in Directus
6106,,OEL-52,,set,skip_no_num,OEL-52 non trovato in Directus
6111,,OEL-56,,set,skip_no_num,OEL-56 non trovato in Directus
7479,,OEL-30,,set,skip_no_num,OEL-30 non trovato in Directus
7431,,OEL-30,,set,skip_no_num,OEL-30 non trovato in Directus
7434,,OEL-30,,set,skip_no_num,OEL-30 non trovato in Directus
7451,,OEL-30,,set,skip_no_num,OEL-30 non trovato in Directus
7456,,OEL-30,,set,skip_no_num,OEL-30 non trovato in Directus
7461,,OEL-30,,set,skip_no_num,OEL-30 non trovato in Directus
7465,,OEL-30,,set,skip_no_num,OEL-30 non trovato in Directus
7468,,OEL-30,,set,skip_no_num,OEL-30 non trovato in Directus
7474,,OEL-30,,set,skip_no_num,OEL-30 non trovato in Directus
7476,,OEL-30,,set,skip_no_num,OEL-30 non trovato in Directus
23838,,OEL-77,,set,skip_no_num,OEL-77 non trovato in Directus
9626,,OEL-46,,set,skip_no_num,OEL-46 non trovato in Directus
9618,,OEL-46,,set,skip_no_num,OEL-46 non trovato in Directus
9647,,OEL-46,,set,skip_no_num,OEL-46 non trovato in Directus
9650,,OEL-46,,set,skip_no_num,OEL-46 non trovato in Directus
9651,,OEL-46,,set,skip_no_num,OEL-46 non trovato in Directus
9654,,OEL-46,,set,skip_no_num,OEL-46 non trovato in Directus
9660,,OEL-46,,set,skip_no_num,OEL-46 non trovato in Directus
9664,,OEL-46,,set,skip_no_num,OEL-46 non trovato in Directus
9681,,OEL-47,,set,skip_no_num,OEL-47 non trovato in Directus
9708,,OEL-47,,set,skip_no_num,OEL-47 non trovato in Directus
9713,,OEL-47,,set,skip_no_num,OEL-47 non trovato in Directus
9715,,OEL-47,,set,skip_no_num,OEL-47 non trovato in Directus
9717,,OEL-47,,set,skip_no_num,OEL-47 non trovato in Directus
9720,,OEL-47,,set,skip_no_num,OEL-47 non trovato in Directus
9723,,OEL-47,,set,skip_no_num,OEL-47 non trovato in Directus
9727,,OEL-47,,set,skip_no_num,OEL-47 non trovato in Directus
10839,,OEL-55,,set,skip_no_num,OEL-55 non trovato in Directus
10844,,OEL-55,,set,skip_no_num,OEL-55 non trovato in Directus
10835,,OEL-55,,set,skip_no_num,OEL-55 non trovato in Directus
10511,,OEL-53,,set,skip_no_num,OEL-53 non trovato in Directus
10830,,OEL-55,,set,skip_no_num,OEL-55 non trovato in Directus
10402,,OEL-52,,set,skip_no_num,OEL-52 non trovato in Directus
10409,,OEL-52,,set,skip_no_num,OEL-52 non trovato in Directus
10411,,OEL-52,,set,skip_no_num,OEL-52 non trovato in Directus
10415,,OEL-52,,set,skip_no_num,OEL-52 non trovato in Directus
10420,,OEL-52,,set,skip_no_num,OEL-52 non trovato in Directus
10424,,OEL-52,,set,skip_no_num,OEL-52 non trovato in Directus
10429,,OEL-52,,set,skip_no_num,OEL-52 non trovato in Directus
10437,,OEL-52,,set,skip_no_num,OEL-52 non trovato in Directus
10444,,OEL-52,,set,skip_no_num,OEL-52 non trovato in Directus
10447,,OEL-52,,set,skip_no_num,OEL-52 non trovato in Directus
10461,,OEL-53,,set,skip_no_num,OEL-53 non trovato in Directus
10475,,OEL-53,,set,skip_no_num,OEL-53 non trovato in Directus
10482,,OEL-53,,set,skip_no_num,OEL-53 non trovato in Directus
10864,,OEL-55,,set,skip_no_num,OEL-55 non trovato in Directus
10488,,OEL-53,,set,skip_no_num,OEL-53 non trovato in Directus
10490,,OEL-53,,set,skip_no_num,OEL-53 non trovato in Directus
10495,,OEL-53,,set,skip_no_num,OEL-53 non trovato in Directus
10499,,OEL-53,,set,skip_no_num,OEL-53 non trovato in Directus
10515,,OEL-53,,set,skip_no_num,OEL-53 non trovato in Directus
10519,,OEL-53,,set,skip_no_num,OEL-53 non trovato in Directus
10528,,OEL-53,,set,skip_no_num,OEL-53 non trovato in Directus
10532,,OEL-53,,set,skip_no_num,OEL-53 non trovato in Directus
10596,,OEL-54,,set,skip_no_num,OEL-54 non trovato in Directus
10605,,OEL-54,,set,skip_no_num,OEL-54 non trovato in Directus
10615,,OEL-54,,set,skip_no_num,OEL-54 non trovato in Directus
10627,,OEL-54,,set,skip_no_num,OEL-54 non trovato in Directus
10650,,OEL-54,,set,skip_no_num,OEL-54 non trovato in Directus
10665,,OEL-54,,set,skip_no_num,OEL-54 non trovato in Directus
10671,,OEL-54,,set,skip_no_num,OEL-54 non trovato in Directus
10677,,OEL-54,,set,skip_no_num,OEL-54 non trovato in Directus
10683,,OEL-54,,set,skip_no_num,OEL-54 non trovato in Directus
10688,,OEL-54,,set,skip_no_num,OEL-54 non trovato in Directus
10797,,OEL-55,,set,skip_no_num,OEL-55 non trovato in Directus
10818,,OEL-55,,set,skip_no_num,OEL-55 non trovato in Directus
10872,,OEL-55,,set,skip_no_num,OEL-55 non trovato in Directus
10883,,OEL-55,,set,skip_no_num,OEL-55 non trovato in Directus
10892,,OEL-55,,set,skip_no_num,OEL-55 non trovato in Directus
10890,,OEL-55,,set,skip_no_num,OEL-55 non trovato in Directus
10903,,OEL-55,,set,skip_no_num,OEL-55 non trovato in Directus
10904,,OEL-55,,set,skip_no_num,OEL-55 non trovato in Directus
10915,,OEL-55,,set,skip_no_num,OEL-55 non trovato in Directus
11067,,OEL-56,,set,skip_no_num,OEL-56 non trovato in Directus
11072,,OEL-56,,set,skip_no_num,OEL-56 non trovato in Directus
11074,,OEL-56,,set,skip_no_num,OEL-56 non trovato in Directus
11076,,OEL-56,,set,skip_no_num,OEL-56 non trovato in Directus
11079,,OEL-56,,set,skip_no_num,OEL-56 non trovato in Directus
11097,,OEL-56,,set,skip_no_num,OEL-56 non trovato in Directus
11102,,OEL-56,,set,skip_no_num,OEL-56 non trovato in Directus
11104,,OEL-56,,set,skip_no_num,OEL-56 non trovato in Directus
11109,,OEL-56,,set,skip_no_num,OEL-56 non trovato in Directus
11111,,OEL-56,,set,skip_no_num,OEL-56 non trovato in Directus
11113,,OEL-56,,set,skip_no_num,OEL-56 non trovato in Directus
11114,,OEL-56,,set,skip_no_num,OEL-56 non trovato in Directus
11117,,OEL-56,,set,skip_no_num,OEL-56 non trovato in Directus
11119,,OEL-56,,set,skip_no_num,OEL-56 non trovato in Directus
11120,,OEL-56,,set,skip_no_num,OEL-56 non trovato in Directus
11121,,OEL-56,,set,skip_no_num,OEL-56 non trovato in Directus
11787,,OEL-60,,set,skip_no_num,OEL-60 non trovato in Directus
11789,,OEL-60,,set,skip_no_num,OEL-60 non trovato in Directus
11517,,OEL-58,,set,skip_no_num,OEL-58 non trovato in Directus
11628,,OEL-59,,set,skip_no_num,OEL-59 non trovato in Directus
11596,,OEL-59,,set,skip_no_num,OEL-59 non trovato in Directus
