en_id,en_slug,it_id,it_slug,method,note
0031a4c4-1bb1-4a61-9664-cf8975e9255e,bologna-to-rome-pedaling-possibilities-in-the-rainbow-communitys-tandem-journey,38f5b66a-e4d2-422e-b371-a06529ed1622,arche-bologna-tandem,date_author,
04038500-b251-42c4-86e9-6addc3c0e6c1,i-almost-gave-up,8a8b7baf-bf56-48b7-8185-dc587e4b8563,io-stavo-per-mollare,date_author,
050c231d-501c-4b77-8eef-d731e6201765,journey-of-unchanged-affection-celebrating-24-years-of-faith-and-light,9f5dd50c-cf7e-4a57-bf80-dd7e2f40a71a,una-grande-famiglia,date_author,
0d08d7c9-441b-47e3-8c09-9f64a48cc474,when-waiting-becomes-encounter,6a40ecb0-7c3e-4fac-8ec3-c28a20d2fcdf,lattesa-nellattesa,date_author,
13c8bbb8-1279-4bb6-a06b-b5f08f5eaa41,stopping-choosing-making-a-difference,,,AMBIGUOUS_date_author,2 IT con stessa data+autore
1c1a852b-5f6b-471f-8820-b2d2e9516554,staying-connected-even-when-im-not-always-there,29507a50-11b8-4cdf-a2b4-94b42a8e4441,sto-vedendo-sempre-meno-i-miei-amici-di-fede-e-luce,date_author,
1d83786b-d3b2-4826-8642-525223f2b225,a-fathers-camino-walking-side-by-side-with-my-autistic-son,dccef4dc-92b2-4420-a08e-2aebf2e07565,a-santiago-per-mio-figlio,date_author,
1e3d2edb-b37e-4c2b-978a-8fd01b247dbe,a-birthday-evening-with-friends,cec38f4f-bff3-4e5f-8225-fcd8bc6ccd67,la-festa-di-compleanno-di-veronica,date_author,
26656443-a37e-4c5d-a79b-3cf7af1b9020,lourdes-a-miracle-of-encounter,,,NO_MATCH,nessuna corrispondenza trovata
3c55af4f-0a0c-457a-9310-d8d00df0862d,i-met-the-scooppiati-diversamente-band-and-interviewed-them,,,NO_MATCH,nessuna corrispondenza trovata
3ccf1a79-27d2-42bb-bb17-89cc8da904bd,growing-up-with-my-brother,685353ce-cf12-492b-a1b3-9f12a81aeac1,ho-capito-di-non-essere-lunica,date_author,
44827c86-5fb5-40fc-8d72-3b53fc3cea1f,dialogo-aperto-letters-n-172,54b8362b-9137-44fe-93d0-93d5e06218a3,diagolo-aperto-n-172,date_author,
467c5d36-e26f-49d3-9571-88904aa604e4,me-in-pompei,ba2842f2-e352-42cc-9f77-b2f61df71a08,io-a-pompei,date_author,
4b2ec248-8250-46d1-bc93-56b214f6f607,pilgrims-on-film-sacred-journeys-from-lourdes-to-mecca,48a5edb0-50e4-49f2-a6fa-c7ef30c35d99,pellegrinaggi-al-cinema,date_author,
52a5eda6-8556-42bd-8e45-42e5dfbf93b3,whos-my-neighbor,,,NO_MATCH,nessuna corrispondenza trovata
53243f17-8659-4fc5-a342-fa8ad7414e89,and-a-star-lights-up-from-fear-to-hope-navigating-a-changed-world-since-september-11,ac4ae3d6-48a5-4d73-a56e-23f08bdae28d,e-si-accende-una-stella,date_author,
5438643d-ced6-4020-8543-d2fd68d95146,when-an-encounter-changes-everything,dea5b21f-12e6-4f15-97aa-e6033784f0c0,decidemmo-di-restare,date_author,
580b3401-5945-4f35-aa56-ecf42c1d8131,a-holiday-at-europing-an-accessible-paradise-in-tarquinia,ab6b2aab-2784-4257-b632-2ce4314869d0,in-vacanza-abbiamo-fatto-di-tutto,date_author,
