job_id,it_id,it_slug,en_id,en_slug,source_hash,status,error,input_tokens,output_tokens,cost_usd,timestamp
batch-20260418,021db852-2230-4f61-b5bb-dc3c599b0306,ci-hanno-scritto-insieme-n-28,,ci-hanno-scritto-insieme-n-28-en,d2c700120e702831,error,'NoneType' object has no attribute 'messages',,,,2026-04-18T14:33:08.820989
batch-20260418,022678c5-2429-4596-9cd1-b5f579c3398f,cinema-e-disabilita-i-3-film-di-enrica-riera,,cinema-e-disabilita-i-3-film-di-enrica-riera-en,72b33c84e3c66580,error,'NoneType' object has no attribute 'messages',,,,2026-04-18T14:33:09.321275
batch-20260418,022ab78d-54b0-4dc6-8171-7c1e142c9a02,un-antidoto-alla-disperazione,,un-antidoto-alla-disperazione-en,63716e8ce530a6ce,error,'NoneType' object has no attribute 'messages',,,,2026-04-18T14:33:09.822384
batch-20260418,022c182e-41bb-411f-83cc-40e25bd3b246,fausta,,fausta-en,0a1d3572c4dd5b3c,error,'NoneType' object has no attribute 'messages',,,,2026-04-18T14:33:10.323078
batch-20260418,0237d4e3-92da-4562-a09c-7a60ed4ed133,la-stanza-dellorso-e-dellape-recensione,,la-stanza-dellorso-e-dellape-recensione-en,d8af5fb5b8c79dd3,error,'NoneType' object has no attribute 'messages',,,,2026-04-18T14:33:10.824285
batch-20260418,021db852-2230-4f61-b5bb-dc3c599b0306,ci-hanno-scritto-insieme-n-28,DRY,ci-hanno-scritto-insieme-n-28-en,d2c700120e702831,dry-run,,,,,2026-04-18T14:33:55.644927
batch-20260418,022678c5-2429-4596-9cd1-b5f579c3398f,cinema-e-disabilita-i-3-film-di-enrica-riera,DRY,cinema-e-disabilita-i-3-film-di-enrica-riera-en,72b33c84e3c66580,dry-run,,,,,2026-04-18T14:33:56.145534
batch-20260418,022ab78d-54b0-4dc6-8171-7c1e142c9a02,un-antidoto-alla-disperazione,DRY,un-antidoto-alla-disperazione-en,63716e8ce530a6ce,dry-run,,,,,2026-04-18T14:33:56.645820
batch-20260418,022c182e-41bb-411f-83cc-40e25bd3b246,fausta,DRY,fausta-en,0a1d3572c4dd5b3c,dry-run,,,,,2026-04-18T14:33:57.146279
batch-20260418,0237d4e3-92da-4562-a09c-7a60ed4ed133,la-stanza-dellorso-e-dellape-recensione,DRY,la-stanza-dellorso-e-dellape-recensione-en,d8af5fb5b8c79dd3,dry-run,,,,,2026-04-18T14:33:57.646823
