autore_id,nome,status,chars_it,chars_en,error_msg,timestamp
09b72864-e8d4-4606-a0e4-4983ad6f934e,"Adriana Duci",ok,237,250,"",2026-05-07T17:03:32.832Z
5996d9f0-6bf8-4ba2-8624-8cf1c6a1e7d0,"Alessandra Moraca",ok,720,723,"",2026-05-07T17:03:36.132Z
26df3489-e324-495d-b9d7-c564dbf69ec7,"Alessandro De Simone",ok,143,134,"",2026-05-07T17:03:39.989Z
6aeea15f-aa6b-481c-ac6b-c4967b0461ec,"Anna Aluffi Pentini",ok,523,513,"",2026-05-07T17:03:43.154Z
d594441a-2d94-484c-b804-9fdeaad93817,"Antonello Damiani",ok,211,203,"",2026-05-07T17:03:46.469Z
dd069c8c-4fdd-4279-8f71-6395347a3091,"Antonietta Pantone",ok,300,310,"",2026-05-07T17:03:49.509Z
734e1169-719a-458f-b563-bd0d24db2e76,"Antonio Mazzarotto",ok,77,88,"",2026-05-07T17:03:53.212Z
df58f1dd-545c-4780-b5e6-41e2c0965eac,"Antonio Piscitelli",ok,413,453,"",2026-05-07T17:03:56.177Z
b40d4e56-108b-441f-ae4b-d74097c3f2b4,"Arianna Giuliano",ok,675,675,"",2026-05-07T17:03:59.680Z
75b898a6-ded3-4922-aa22-b2537195e364,"Benedetta Mattei",ok,1143,1138,"",2026-05-07T17:04:03.666Z
4b2041cf-609d-4fdd-9fb2-7d4d362031a6,"Benoit Malveaux",ok,442,434,"",2026-05-07T17:04:08.195Z
4e6b65eb-4d7c-46fd-a87b-96b7822d5350,"Carlo Maria Martini",ok,186,202,"",2026-05-07T17:04:11.839Z
1d9c2a92-0c55-4600-8727-7d7dc8fb6faa,"Chiara Gatti",ok,349,367,"",2026-05-07T17:04:14.806Z
f9898b1b-db76-4114-9c18-23c1355ef893,"Claudio Cinus",ok,788,815,"",2026-05-07T17:04:18.115Z
4335c2c5-049e-41e4-86c4-f5fc91745a34,"Cordula Neuhaus",ok,396,420,"",2026-05-07T17:04:22.153Z
70593a44-44a7-480f-9d45-664b82023d0e,"Corrado Dastoli",ok,402,418,"",2026-05-07T17:04:25.739Z
77f90786-a156-4118-ac30-d09a11382c62,"Cristina Marchese",ok,280,309,"",2026-05-07T17:04:29.102Z
96c80525-3c9e-4c42-bd83-940b54166003,"Cristina Tersigni",ok,834,917,"",2026-05-07T17:04:32.334Z
6a21067d-2280-45ce-b5e5-f40b878a633c,"Davide Del Duca",ok,62,68,"",2026-05-07T17:04:36.380Z
0ee636ca-eb41-4732-91f3-ed16d12bfb20,"Don Stefano Buttinoni",ok,767,794,"",2026-05-07T17:04:39.568Z
39235ac8-bb94-45e8-9ccc-634df7bde7ac,"Efrem Sardella",ok,761,786,"",2026-05-07T17:04:43.443Z
abd45963-e7ba-4dce-badc-c5161b660a98,"Enrica Riera",ok,831,829,"",2026-05-07T17:04:47.706Z
0c59b9a9-84a6-468f-bc4d-707354d1eeb9,"Gaia Valmarin",ok,400,393,"",2026-05-07T17:04:51.806Z
dc53cc91-d982-41eb-a5ba-20a956912997,"Gérard Daucourt",ok,288,271,"",2026-05-07T17:04:55.208Z
69bce6c4-e579-4686-ab96-acca29f4bdf7,"Ghislain du Chéné",ok,247,252,"",2026-05-07T17:04:58.314Z
918db06f-0324-49a5-b8d4-546a3ed9150d,"Gianfranco Ravasi",ok,254,278,"",2026-05-07T17:05:01.407Z
536d786c-583c-40c4-ba0f-e7245c533679,"Gianluigi Visentini",ok,337,356,"",2026-05-07T17:05:04.904Z
641c0552-fd2f-4750-b0f9-defe02f9af14,"Gianni Marmorini",ok,515,528,"",2026-05-07T17:05:08.315Z
730dd828-cf1c-4190-99b4-ddaa7a519716,"Gianni Verni",ok,585,588,"",2026-05-07T17:05:11.669Z
cbff33ea-3b2a-43f9-b0d8-5c5ce2ff9f5f,"Giovanni Grossi",ok,996,1047,"",2026-05-07T17:05:15.566Z
f45fa684-ad43-4b1e-8e7c-86abb1448d50,"Giovanni Maria Flick",ok,161,162,"",2026-05-07T17:05:20.388Z
5a427c6c-541c-47ee-b150-e508d1196e39,"Giulia Galeotti",ok,1216,1317,"",2026-05-07T17:05:23.549Z
5f950ce2-d665-42a0-9476-b46b5cbe9cc0,"Henri Bissonier",ok,1068,1060,"",2026-05-07T17:05:28.332Z
3fa8fd9c-872b-4e2e-97f0-829bf3bcfde7,"Huberta Pott",ok,1132,1171,"",2026-05-07T17:05:32.627Z
d41d6299-33d1-4aaf-97bb-a44d6b250dde,"Jane Gross",ok,615,539,"",2026-05-07T17:05:37.084Z
e1beb26d-5ba3-4480-9ebf-07031872a028,"Jean Marie Petitclerc",ok,209,219,"",2026-05-07T17:05:40.434Z
8916d490-848f-49e7-8cc1-3bbd40c7ca1f,"Lars Porsenna",ok,172,179,"",2026-05-07T17:05:43.435Z
cf0b677a-425a-406e-9e19-7a4439f449f7,"Laura Coccia",ok,638,649,"",2026-05-07T17:05:46.408Z
d8385504-c144-412d-9ad9-a56fa0271bda,"Luca Badetti",ok,343,340,"",2026-05-07T17:05:50.183Z
4ca8ebfc-95fc-42b6-8dfe-eefdad65cdcd,"Luciana Spigolon",ok,234,274,"",2026-05-07T17:05:53.432Z
baedaa80-1947-4900-a342-dc2426835b12,"Lucina Spaccia",ok,2297,2241,"",2026-05-07T17:05:56.815Z
26d88f78-7fd9-4634-9836-f71e2a2e6389,"Mariangela Bertolini",ok,313,324,"",2026-05-07T17:06:03.530Z
53457894-46fa-4859-be15-d98e288a9713,"Mariano S. Pergola",ok,168,136,"",2026-05-07T17:06:07.102Z
6f3c7a5f-5a4b-4723-a91c-ac7a8e19bb2c,"Maria Teresa Mazzarotto",ok,80,87,"",2026-05-07T17:06:10.375Z
1f3c3145-d13d-4680-bc3a-4972f3723e09,"Marie Hélène Mathieu",ok,769,784,"",2026-05-07T17:06:14.498Z
9b8e7418-251a-47c7-89eb-db8e2824856a,"Marie-Odile Réthoré",ok,277,274,"",2026-05-07T17:06:18.531Z
12844cd1-59be-4fdd-be18-e3f296bd6ffa,"Marie-Sylvie Richard",ok,253,251,"",2026-05-07T17:06:21.606Z
288c87f6-7501-4fcd-bc5e-96c67d9dde0e,"Mario Collino",ok,201,191,"",2026-05-07T17:06:24.792Z
75a06f96-1fb4-42c3-943b-c84d64bff535,"Marta De Rino",ok,324,343,"",2026-05-07T17:06:27.826Z
8c9e7710-bdd7-4bf3-b0a8-792a3bfb86e6,"Marta De Rino e Eleonora Secchi",ok,789,867,"",2026-05-07T17:06:31.287Z
79a82868-58d4-47ad-b6ee-f5e3744ccbc2,"Matteo Cinti",ok,1010,1017,"",2026-05-07T17:06:35.561Z
b907307a-ba37-4800-80b9-9feede31b725,"Maurizio Pilone",ok,165,171,"",2026-05-07T17:06:40.927Z
fda42b44-be0f-4c2a-a7d4-b85470beb5de,"Michel Lemay",ok,220,226,"",2026-05-07T17:06:44.085Z
0ba56eb8-57ec-46d4-9e4d-4eec84959d87,"Mons. Alberto G. Bochatey",ok,225,222,"",2026-05-07T17:06:47.335Z
98a63e13-34cb-4437-9cd8-d2f9609e3bcb,"Natalia Livi",ok,118,120,"",2026-05-07T17:06:50.676Z
a4a2146e-9550-4f0f-951a-002f13ce86d0,"Niccolò Scarnato",ok,420,393,"",2026-05-07T17:06:53.567Z
d1d60078-aa96-4ca2-a472-df1f6c6150fd,"Nicla Bettazzi",ok,370,407,"",2026-05-07T17:06:56.951Z
276bbdff-cb36-435b-9d35-6101d4bde6b3,"Nicole Schulthes",ok,527,583,"",2026-05-07T17:07:00.320Z
c9cde3e6-a30c-4200-b2e2-f9ff9a46d69f,"Olga Gammarelli",ok,164,180,"",2026-05-07T17:07:03.868Z
6d616ef8-9aff-4352-aad6-2f496e295d54,"Paolo Bertolini",ok,509,500,"",2026-05-07T17:07:07.032Z
b9051a7b-f68d-4fc0-8a8f-79ebdc6414c1,"Patrizia Stacconi",ok,53,56,"",2026-05-07T17:07:10.583Z
cb93469e-2ccf-4006-9521-e0e9a5c4c487,"Paul Gilbert",ok,383,411,"",2026-05-07T17:07:13.420Z
ff57d58c-339b-4fa5-91d4-bf631b5d41c7,"Père Christian Mahéas",ok,32,30,"",2026-05-07T17:07:16.787Z
3628ff5a-d922-4c66-99b4-edbcf3b16839,"Pierfrancesco De Paolis",ok,534,497,"",2026-05-07T17:07:19.720Z
ed5910a7-89eb-441c-82f9-dfcadea0a323,"Pierre Debergé",ok,207,209,"",2026-05-07T17:07:23.218Z
73172fca-3505-410d-a653-093d59539119,"Rita Massi",ok,1134,1127,"",2026-05-07T17:07:26.287Z
9e4f1ea4-9e7b-4cb5-976d-1a981586f1cf,"Salvatore Anastasi",ok,150,160,"",2026-05-07T17:07:30.839Z
00989abd-1e84-4444-8ff3-c230df6b7a3c,"Serena Sillitto",ok,761,820,"",2026-05-07T17:07:33.951Z
841f084f-b442-4297-9799-3d03702ecdfd,"Sergio Sciascia",ok,592,606,"",2026-05-07T17:07:38.167Z
5cf3809a-9ad1-45a9-946a-dd33fc82ec66,"Silvia Camisasca",ok,777,810,"",2026-05-07T17:07:41.827Z
f836dde9-a2b9-457a-9eb5-4db982224ea8,"Silvia Gusmano",ok,533,592,"",2026-05-07T17:07:45.707Z
185ec8a3-da1f-43fe-89e2-b53dc133801c,"Stefano Artero",ok,232,220,"",2026-05-07T17:07:49.467Z
95cbaab7-a347-4b2f-9a0c-8f609c07b14d,"Stefano Di Franco",ok,551,553,"",2026-05-07T17:07:52.546Z
f27290b5-d1d3-4ba3-9704-15058094c0b2,"Suor Veronica Amata Donatello",ok,200,226,"",2026-05-07T17:07:56.033Z
5bde22ef-ad14-463c-b7f0-c198a82cbcd7,"Valeria Antonucci",ok,632,635,"",2026-05-07T17:07:59.046Z
7a1d1832-9a57-4190-aa09-3bc2394924c5,"Valeria Levi della Vida",ok,66,69,"",2026-05-07T17:08:02.606Z
5418dc8f-0a30-40b2-905d-24286b67e9d4,"Vito Giannulo",ok,548,619,"",2026-05-07T17:08:06.968Z
ba062789-6056-4f49-838d-09942f24f660,"Vittorio Scelzo",ok,264,274,"",2026-05-07T17:08:10.933Z
2b13647f-4c27-4131-9cc4-8590736b9d0d,"Vivi Licciuli",ok,40,36,"",2026-05-07T17:08:14.225Z
