wp_id,slug,issue_number,id_numero,numero_rivista,anno_rivista,tipo_rivista,cluster_id,relative_path
43451,cura-e-civilta,OEL-168,OEL-168,168,2024,ombre_e_luci,-1,src/content/blog/OEL-168/cura-e-civilta.md
12913,i-nostri-grandi-amici-charles-del-focauld-un-amico-di-gesu-nel-deserto,OEL-67,OEL-67,67,,ombre_e_luci,-1,src/content/blog/OEL-67/i-nostri-grandi-amici-charles-del-focauld-un-amico-di-gesu-nel-deserto.md
32033,ii-barattolo-di-maionese-e-caffe,OEL-95,OEL-95,95,,ombre_e_luci,-1,src/content/blog/OEL-95/ii-barattolo-di-maionese-e-caffe.md
,per-un-risveglio-religioso-dei-piu-handicappati,OEL-16,OEL-16,16,1986,ombre_e_luci,-1,src/content/blog/OEL-16/per-un-risveglio-religioso-dei-piu-handicappati.md
45933,1-introduzione-fede-e-luce-anatomia-di-una-comunita-di-incontro,INS-27,INS-27,27,1980,insieme,0,src/content/blog/INS-27/1-introduzione-fede-e-luce-anatomia-di-una-comunita-di-incontro.md
9023,10-anni-di-ombre-e-luci-piu-che-una-rivista-una-grande-famiglia,OEL-44,OEL-44,44,1993,ombre_e_luci,0,src/content/blog/OEL-44/10-anni-di-ombre-e-luci-piu-che-una-rivista-una-grande-famiglia.md
46818,11-compiendo-la-volonta-del-padre,INS-30,INS-30,30,1981,insieme,0,src/content/blog/INS-30/11-compiendo-la-volonta-del-padre.md
9654,14-giochi-da-fare-insieme,OEL-48,OEL-48,48,1994,ombre_e_luci,0,src/content/blog/OEL-48/14-giochi-da-fare-insieme.md
48826,14-interactive-games-for-unforgettable-group-fun,OEL-48,OEL-48,48,1994,ombre_e_luci,0,src/content/blog/OEL-48/14-interactive-games-for-unforgettable-group-fun.md
,2-larte-dellincontro-superare-la-paura-della-diversita,INS-27,INS-27,27,1980,insieme,0,src/content/blog/INS-27/2-larte-dellincontro-superare-la-paura-della-diversita.md
46769,2-pellegrini-in-comunita,INS-30,INS-30,30,1981,insieme,0,src/content/blog/INS-30/2-pellegrini-in-comunita.md
48751,22-fun-mini-games-to-play-together,OEL-172,OEL-172,172,2025,ombre_e_luci,0,src/content/blog/OEL-172/22-fun-mini-games-to-play-together.md
9660,22-mini-giochi-da-fare-insieme,OEL-48,OEL-48,48,1994,ombre_e_luci,0,src/content/blog/OEL-48/22-mini-giochi-da-fare-insieme.md
45662,23-maggio-1979-festa-della-primavera,INS-23,INS-23,23,1979,insieme,0,src/content/blog/INS-23/23-maggio-1979-festa-della-primavera.md
,27-notti-al-festival-di-san-sebastin-una-storia-di-liberta,OEL-172,OEL-172,172,2025,ombre_e_luci,0,src/content/blog/OEL-172/27-notti-al-festival-di-san-sebastin-una-storia-di-liberta.md
46777,3-in-comunita-accoglienti,INS-30,INS-30,30,1981,insieme,0,src/content/blog/INS-30/3-in-comunita-accoglienti.md
,4-la-vita-comunitaria-costruire-comunita-i-tre-pilastri-di-fede-e-luce,INS-27,INS-27,27,1980,insieme,0,src/content/blog/INS-27/4-la-vita-comunitaria-costruire-comunita-i-tre-pilastri-di-fede-e-luce.md
46782,4-ognuno-ha-il-suo-posto-nella-comunita,INS-30,INS-30,30,1981,insieme,0,src/content/blog/INS-30/4-ognuno-ha-il-suo-posto-nella-comunita.md
,5-crescere-insieme-guidare-una-comunita-fede-e-luce-principi-e-pratica,INS-27,INS-27,27,1980,insieme,0,src/content/blog/INS-27/5-crescere-insieme-guidare-una-comunita-fede-e-luce-principi-e-pratica.md
46800,7-lo-spirito-santo-dono-di-gesu-risorto,INS-30,INS-30,30,1981,insieme,0,src/content/blog/INS-30/7-lo-spirito-santo-dono-di-gesu-risorto.md
46806,8-nutrirsi-di-gesu-attraverso-la-parola,INS-30,INS-30,30,1981,insieme,0,src/content/blog/INS-30/8-nutrirsi-di-gesu-attraverso-la-parola.md
24605,a-4300-metri-di-altitudine-newsletter-n-31,OEL-156,OEL-156,156,2021,ombre_e_luci,0,src/content/blog/OEL-156/a-4300-metri-di-altitudine-newsletter-n-31.md
6724,a-braccia-aperte,OEL-24,OEL-24,24,1988,ombre_e_luci,0,src/content/blog/OEL-24/a-braccia-aperte.md
9825,a-cena-in-famiglia,OEL-48,OEL-48,48,1994,ombre_e_luci,0,src/content/blog/OEL-48/a-cena-in-famiglia.md
15768021,a-holiday-at-europing-an-accessible-paradise-in-tarquinia,OEL-172,OEL-172,172,2025,ombre_e_luci,0,src/content/blog/OEL-172/a-holiday-at-europing-an-accessible-paradise-in-tarquinia.md
15768346,a-light-in-pompei-a-journey-of-faith-and-friendship,OEL-172,OEL-172,172,2025,ombre_e_luci,0,src/content/blog/OEL-172/a-light-in-pompei-a-journey-of-faith-and-friendship.md
,a-meta-tra-un-conclave-e-una-seduta-di-autocoscienza,OEL-148,OEL-148,148,2019,ombre_e_luci,0,src/content/blog/OEL-148/a-meta-tra-un-conclave-e-una-seduta-di-autocoscienza.md
30579,a-natale-alberto-star-in-famiglia-lontano-da-noi,OEL-88,OEL-88,88,,ombre_e_luci,0,src/content/blog/OEL-88/a-natale-alberto-star-in-famiglia-lontano-da-noi.md
30579,a-natale-alberto-stara-in-famiglia-lontano-da-noi,OEL-88,OEL-88,88,,ombre_e_luci,0,src/content/blog/OEL-88/a-natale-alberto-stara-in-famiglia-lontano-da-noi.md
11663,a-roma-un-workshop-dedicato-alla-disabilita-mentale-in-eta-adulta,OEL-148,OEL-148,148,2019,ombre_e_luci,0,src/content/blog/OEL-148/a-roma-un-workshop-dedicato-alla-disabilita-mentale-in-eta-adulta.md
12817,a-tavolaaaa,OEL-66,OEL-66,66,,ombre_e_luci,0,src/content/blog/OEL-66/a-tavolaaaa.md
27732,abbiamo-fatto-alcune-delle-esperienze-di-solidarieta-che-abbiamo-raccontato,OEL-84,OEL-84,84,,ombre_e_luci,0,src/content/blog/OEL-84/abbiamo-fatto-alcune-delle-esperienze-di-solidarieta-che-abbiamo-raccontato.md
7958,abib-mohamed-e-naima,OEL-32,OEL-32,32,1990,ombre_e_luci,0,src/content/blog/OEL-32/abib-mohamed-e-naima.md
16698,abitare-la-speranza,OEL-79,OEL-79,79,,ombre_e_luci,0,src/content/blog/OEL-79/abitare-la-speranza.md
39730,abitare-nellordinarieta,OEL-140,OEL-140,140,2017,ombre_e_luci,0,src/content/blog/OEL-140/abitare-nellordinarieta.md
18059,accostarsi-alla-verita,OEL-72,OEL-72,72,2000,ombre_e_luci,0,src/content/blog/OEL-72/accostarsi-alla-verita.md
25764,agendo-per-lagenda-si-apre-alla-societa-civile,OEL-156,OEL-156,156,2021,ombre_e_luci,0,src/content/blog/OEL-156/agendo-per-lagenda-si-apre-alla-societa-civile.md
37396,aggiungi-un-posto-a-casa-adozione-di-bambini-con-disabilita,OEL-120,OEL-120,120,2012,ombre_e_luci,0,src/content/blog/OEL-120/aggiungi-un-posto-a-casa-adozione-di-bambini-con-disabilita.md
30198,agricoltura-e-disabilita-il-campo-sperimentale-splende-il-sole,OEL-86,OEL-86,86,,ombre_e_luci,0,src/content/blog/OEL-86/agricoltura-e-disabilita-il-campo-sperimentale-splende-il-sole.md
,airbnb-accomable-un-aiuto-ai-viaggiatori-con-disabilita,OEL-144,OEL-144,144,2018,ombre_e_luci,0,src/content/blog/OEL-144/airbnb-accomable-un-aiuto-ai-viaggiatori-con-disabilita.md
38184,al-lavoro,OEL-128,OEL-128,128,2014,ombre_e_luci,0,src/content/blog/OEL-128/al-lavoro.md
38978,alla-fine-qualcosa-ci-inventeremo-che-ne-sara-di-mio-figlio-autistico-quando-non-saro-piu-al-suo-fianco-recensione,OEL-132,OEL-132,132,2015,ombre_e_luci,0,src/content/blog/OEL-132/alla-fine-qualcosa-ci-inventeremo-che-ne-sara-di-mio-figlio-autistico-quando-non-saro-piu-al-suo-fianco-recensione.md
10336,alla-morte-del-nonno-perche-lhanno-messo-in-una-scatola,OEL-112,OEL-112,112,2010,ombre_e_luci,0,src/content/blog/OEL-112/alla-morte-del-nonno-perche-lhanno-messo-in-una-scatola.md
10326,alla-morte-del-papa-charles-restava-nascosto-sotto-il-tavolo,OEL-112,OEL-112,112,2010,ombre_e_luci,0,src/content/blog/OEL-112/alla-morte-del-papa-charles-restava-nascosto-sotto-il-tavolo.md
15768270,alla-piccola-marcia-di-assisi,OEL-172,OEL-172,172,2025,ombre_e_luci,0,src/content/blog/OEL-172/alla-piccola-marcia-di-assisi.md
42582,alla-ricerca-delle-vere-vacanze-rompere-gli-schemi-e-scoprire-il-significato-profondo-del-riposo,INS-11,INS-11,11,1976,insieme,0,src/content/blog/INS-11/alla-ricerca-delle-vere-vacanze-rompere-gli-schemi-e-scoprire-il-significato-profondo-del-riposo.md
32227,alzheimer-cosi-lontani-e-cosi-vicini,OEL-96,OEL-96,96,,ombre_e_luci,0,src/content/blog/OEL-96/alzheimer-cosi-lontani-e-cosi-vicini.md
32232,alzheimer-ma-soprattutto-e-mio-nonno,OEL-96,OEL-96,96,,ombre_e_luci,0,src/content/blog/OEL-96/alzheimer-ma-soprattutto-e-mio-nonno.md
32241,alzheimer-sto-diventando-piu-umano,OEL-96,OEL-96,96,,ombre_e_luci,0,src/content/blog/OEL-96/alzheimer-sto-diventando-piu-umano.md
26824,amore-e-disabilita-veronica-e-alessandro-si-sono-sposati,OEL-82,OEL-82,82,,ombre_e_luci,0,src/content/blog/OEL-82/amore-e-disabilita-veronica-e-alessandro-si-sono-sposati.md
8371,anche-noi-siamo-persone,OEL-37,OEL-37,37,1991,ombre_e_luci,0,src/content/blog/OEL-37/anche-noi-siamo-persone.md
15767617,and-a-star-lights-up-from-fear-to-hope-navigating-a-changed-world-since-september-11,OEL-76,OEL-76,76,2001,ombre_e_luci,0,src/content/blog/OEL-76/and-a-star-lights-up-from-fear-to-hope-navigating-a-changed-world-since-september-11.md
9664,andiamo-a-giocare,OEL-48,OEL-48,48,1994,ombre_e_luci,0,src/content/blog/OEL-48/andiamo-a-giocare.md
23998,andiamo-avanti,OEL-77,OEL-77,77,,ombre_e_luci,0,src/content/blog/OEL-77/andiamo-avanti.md
46032,andiamo-tutti-inpizzeria,INS-27,INS-27,27,1980,insieme,0,src/content/blog/INS-27/andiamo-tutti-inpizzeria.md
46607,animare-una-messa-e-renderla-viva-facendo-lunita,INS-30,INS-30,30,1981,insieme,0,src/content/blog/INS-30/animare-una-messa-e-renderla-viva-facendo-lunita.md
43712,anniversario-di-matrimonio,OEL-168,OEL-168,168,2024,ombre_e_luci,0,src/content/blog/OEL-168/anniversario-di-matrimonio.md
12198,approfittiamo-delle-vacanze-per-imparare,OEL-62,OEL-62,62,,ombre_e_luci,0,src/content/blog/OEL-62/approfittiamo-delle-vacanze-per-imparare.md
9370,appuntamento-con-maria-maddalena-dal-carcere-alla-vita-religiosa-la-testimonianza-delle-suore-di-betania,OEL-44,OEL-44,44,1993,ombre_e_luci,0,src/content/blog/OEL-44/appuntamento-con-maria-maddalena-dal-carcere-alla-vita-religiosa-la-testimonianza-delle-suore-di-betania.md
13097,apre-la-prima-co-housing-per-persone-con-disabilita-nel-veneto,OEL-148,OEL-148,148,2019,ombre_e_luci,0,src/content/blog/OEL-148/apre-la-prima-co-housing-per-persone-con-disabilita-nel-veneto.md
28579,archeocasilina-recensione,OEL-160,OEL-160,160,2022,ombre_e_luci,0,src/content/blog/OEL-160/archeocasilina-recensione.md
38284,argento-vivo,OEL-128,OEL-128,128,2014,ombre_e_luci,0,src/content/blog/OEL-128/argento-vivo.md
45575,aria-di-vacanze,INS-23,INS-23,23,1979,insieme,0,src/content/blog/INS-23/aria-di-vacanze.md
,arriva-in-italia-carolines-cart-il-carrello-per-la-spesa-per-le-persone-con-disabilita,OEL-144,OEL-144,144,2018,ombre_e_luci,0,src/content/blog/OEL-144/arriva-in-italia-carolines-cart-il-carrello-per-la-spesa-per-le-persone-con-disabilita.md
30927,arte-e-disabilit-incontriamo-giotto,OEL-90,OEL-90,90,,ombre_e_luci,0,src/content/blog/OEL-90/arte-e-disabilit-incontriamo-giotto.md
30927,arte-e-disabilita-incontriamo-giotto,OEL-90,OEL-90,90,,ombre_e_luci,0,src/content/blog/OEL-90/arte-e-disabilita-incontriamo-giotto.md
,articolo-senza-titolo,OEL-124,OEL-124,124,2013,ombre_e_luci,0,src/content/blog/OEL-124/articolo-senza-titolo.md
12208,aspettate-arrivo,OEL-62,OEL-62,62,,ombre_e_luci,0,src/content/blog/OEL-62/aspettate-arrivo.md
24394,assieme-newsletter-n-30,OEL-156,OEL-156,156,2021,ombre_e_luci,0,src/content/blog/OEL-156/assieme-newsletter-n-30.md
30387,associazione-invitati-alla-festa,OEL-87,OEL-87,87,,ombre_e_luci,0,src/content/blog/OEL-87/associazione-invitati-alla-festa.md
