id_articolo,nuovo_cluster_id,score_coerenza
43,14,0.2563
65,14,0.2822
67,14,0.2944
76,3,0.2312
88,8,0.1545
224,14,0.2630
228,0,0.2058
300,0,0.1754
313,0,0.2112
325,14,0.2266
328,1,0.2198
330,0,0.2313
340,0,0.2016
342,0,0.1887
353,14,0.2593
371,11,0.2204
603,12,0.3115
607,14,0.2714
609,11,0.2087
612,14,0.2766
617,14,0.1296
764,2,0.2187
767,1,0.2225
774,10,0.3131
777,2,0.2724
981,4,0.3481
1183,2,0.2527
1186,2,0.2489
1188,14,0.1527
1195,14,0.2331
1206,4,0.3733
1211,1,0.1813
1217,12,0.2395
1223,12,0.1852
1410,2,0.2584
1412,3,0.1929
1414,2,0.1507
1419,0,0.2246
1421,0,0.2119
1423,12,0.1817
1425,0,0.1274
1435,5,0.2821
1438,0,0.2111
1440,10,0.3280
1442,10,0.2802
1444,10,0.2971
1446,10,0.3096
1449,10,0.2764
1451,10,0.3842
1453,10,0.1113
1455,10,0.3272
1457,6,0.0559
1560,4,0.4015
1563,4,0.3566
1591,5,0.3655
1637,11,0.1966
1707,5,0.3331
1794,6,0.2294
1803,6,0.2188
1940,4,0.1992
1955,3,0.2328
1957,14,0.1737
1960,8,0.2383
2051,6,0.1281
2053,6,0.1876
2055,6,0.2327
2057,6,0.2095
2069,5,0.3630
2175,5,0.3713
2192,14,0.1346
2196,6,0.1729
2199,14,0.1264
2201,5,0.3035
2203,14,0.1859
2205,14,0.1981
2212,14,0.2048
2214,1,0.0860
2218,14,0.3009
2220,14,0.2891
2222,11,0.2482
2238,3,0.2946
2243,3,0.3031
2252,5,0.2365
2257,14,0.2228
2259,3,0.2829
2263,12,0.1301
2265,3,0.2350
2270,12,0.2398
2272,14,0.2299
2274,5,0.3710
2291,4,0.3258
2294,4,0.3204
2299,4,0.3489
2343,1,0.2359
2348,1,0.2567
2352,1,0.2798
2354,1,0.3074
2356,1,0.3337
2358,1,0.2438
2361,1,0.1600
2363,1,0.2202
2366,5,0.3301
2368,6,0.2360
2380,1,0.2777
2391,1,0.2465
2394,1,0.2467
2396,8,0.2566
2398,12,0.1581
2400,12,0.2735
2402,12,0.2459
2404,11,0.1788
2406,5,0.3402
