slug,titolo,numero_id,anno,lingua,path_fisico
extra-web/amore-e-disabilita-facile-preda,Amore e disabilità: facile preda,extra-web,2003,it,src/content/blog/extra-web/amore-e-disabilita-facile-preda.md
extra-web/anche-loro-hanno-una-propria-storia,Anche loro hanno una propria storia,extra-web,1996,it,src/content/blog/extra-web/anche-loro-hanno-una-propria-storia.md
extra-web/catechesi-anche-per-le-persone-autistiche,Catechesi anche per le persone autistiche,extra-web,1996,it,src/content/blog/extra-web/catechesi-anche-per-le-persone-autistiche.md
extra-web/chicchi-di-grano-dalla-bibbia,Chicchi di grano dalla bibbia,extra-web,1997,it,src/content/blog/extra-web/chicchi-di-grano-dalla-bibbia.md
extra-web/come-in-trappola-storia-di-un-bambino-con-un-deficit-dellattenzione-senza-iperattivita,Come in trappola: storia di un bambino con un deficit dell’attenzione senza iperattività,extra-web,2007,it,src/content/blog/extra-web/come-in-trappola-storia-di-un-bambino-con-un-deficit-dellattenzione-senza-iperattivita.md
extra-web/creativita-al-servizio-dellhandicap,Creatività al servizio dell’handicap,extra-web,1998,it,src/content/blog/extra-web/creativita-al-servizio-dellhandicap.md
extra-web/educare-alla-paternit-tra-ruoli-di-vita-e-trasformazioni-familiari,Educare alla paternità - Tra ruoli di vita e trasformazioni familiari,extra-web,2005,it,src/content/blog/extra-web/educare-alla-paternit-tra-ruoli-di-vita-e-trasformazioni-familiari.md
extra-web/educare-alla-paternita-tra-ruoli-di-vita-e-trasformazioni-familiari,Educare alla paternità - Tra ruoli di vita e trasformazioni familiari,extra-web,2005,it,src/content/blog/extra-web/educare-alla-paternita-tra-ruoli-di-vita-e-trasformazioni-familiari.md
extra-web/essere-vicini-a-chi-e-in-fin-di-vita,Essere vicini a chi è in fin di vita,extra-web,2004,it,src/content/blog/extra-web/essere-vicini-a-chi-e-in-fin-di-vita.md
extra-web/fino-allultimo-respiro,Fino all'ultimo respiro,extra-web,2003,it,src/content/blog/extra-web/fino-allultimo-respiro.md
extra-web/gennaio-2003-trosly,"Gennaio 2003, Trosly",extra-web,2003,it,src/content/blog/extra-web/gennaio-2003-trosly.md
extra-web/grazie-madre-pantanella,"Grazie, Madre Pantanella",extra-web,2003,it,src/content/blog/extra-web/grazie-madre-pantanella.md
extra-web/il-chicco,Il Chicco,extra-web,1998,it,src/content/blog/extra-web/il-chicco.md
extra-web/in-pizzeria,In pizzeria,extra-web,1996,it,src/content/blog/extra-web/in-pizzeria.md
extra-web/io-sono-una-donna-perche-mi-chiami-handicappata,Io sono una donna. Perché mi chiami handicappata?,extra-web,1999,it,src/content/blog/extra-web/io-sono-una-donna-perche-mi-chiami-handicappata.md
extra-web/itinerari-paralleli,Itinerari paralleli,extra-web,2005,it,src/content/blog/extra-web/itinerari-paralleli.md
extra-web/journey-of-unchanged-affection-celebrating-24-years-of-faith-and-light,Journey of Unchanged Affection: Celebrating 24 Years of Faith and Light,extra-web,2007,en,src/content/blog/extra-web/journey-of-unchanged-affection-celebrating-24-years-of-faith-and-light.md
extra-web/la-lotta-del-padre-cittadino,La lotta del padre-cittadino,extra-web,2005,it,src/content/blog/extra-web/la-lotta-del-padre-cittadino.md
extra-web/la-tua-parola-e-per-tutti,La tua Parola è per tutti,extra-web,1998,it,src/content/blog/extra-web/la-tua-parola-e-per-tutti.md
extra-web/mi-trovo-bene-con-tutti,Mi trovo bene con tutti,extra-web,2003,it,src/content/blog/extra-web/mi-trovo-bene-con-tutti.md
extra-web/mother-teresa-of-calcutta-dedicated-to-children-and-to-all-of-us,Mother Teresa of Calcutta – Dedicated to children… and to all of us,extra-web,1998,en,src/content/blog/extra-web/mother-teresa-of-calcutta-dedicated-to-children-and-to-all-of-us.md
extra-web/nicola-pintus-e-il-progetto-filippide,Nicola Pintus e il progetto Filippide,extra-web,2004,it,src/content/blog/extra-web/nicola-pintus-e-il-progetto-filippide.md
extra-web/pazienza-tenacia-anche-durezza,"Pazienza, tenacia, anche durezza",extra-web,2005,it,src/content/blog/extra-web/pazienza-tenacia-anche-durezza.md
extra-web/per-voi-e-per-tutti-alcuni-consigli-pratici-perche-nessuno-si-senta-rifiutato,"\""Per voi e per tutti\"" - Alcuni consigli pratici perché nessuno si senta rifiutato",extra-web,2004,it,src/content/blog/extra-web/per-voi-e-per-tutti-alcuni-consigli-pratici-perche-nessuno-si-senta-rifiutato.md
extra-web/piu-forti-di-loro-gli-scritti-dei-monaci-trappisti-uccisi-in-algeria,Più forti di loro - Gli scritti dei monaci trappisti uccisi in Algeria,extra-web,1999,it,src/content/blog/extra-web/piu-forti-di-loro-gli-scritti-dei-monaci-trappisti-uccisi-in-algeria.md
extra-web/quando-mangiare-e-un-problema,Quando mangiare è un problema,extra-web,1999,it,src/content/blog/extra-web/quando-mangiare-e-un-problema.md
extra-web/smack-come-bacio,Smack come bacio,extra-web,2005,it,src/content/blog/extra-web/smack-come-bacio.md
extra-web/sordo-cecit-conoscere-per-prevenire,Sordo cecità: conoscere per prevenire.,extra-web,1997,it,src/content/blog/extra-web/sordo-cecit-conoscere-per-prevenire.md
extra-web/sordo-cecita-conoscere-per-prevenire,Sordo cecità: conoscere per prevenire.,extra-web,1997,it,src/content/blog/extra-web/sordo-cecita-conoscere-per-prevenire.md
extra-web/un-figlio-a-sorpresa,Un figlio a sorpresa,extra-web,2005,it,src/content/blog/extra-web/un-figlio-a-sorpresa.md
extra-web/un-giorno-come-un-altro,Un giorno come un altro,extra-web,2004,it,src/content/blog/extra-web/un-giorno-come-un-altro.md
extra-web/un-mondo-da-scoprire-camminando-e-fermandoci,"Un mondo da scoprire, camminando e fermandoci",extra-web,2005,it,src/content/blog/extra-web/un-mondo-da-scoprire-camminando-e-fermandoci.md
extra-web/un-padre-rivela-il-dono-unico-di-suo-figlio,Un padre rivela il dono unico di suo figlio,extra-web,2005,it,src/content/blog/extra-web/un-padre-rivela-il-dono-unico-di-suo-figlio.md
extra-web/un-presepe-a-fede-e-luce,Un presepe a Fede e Luce,extra-web,2003,it,src/content/blog/extra-web/un-presepe-a-fede-e-luce.md
extra-web/una-soluzione-per-i-malati-mentali-insieme-si-puo,"Una soluzione per i malati mentali - \""Insieme si può\""",extra-web,1997,it,src/content/blog/extra-web/una-soluzione-per-i-malati-mentali-insieme-si-puo.md
extra-web/we-are-dads-of-disabled-children-a-different-way-of-love,We are dads of disabled children: a different way of love,extra-web,2005,en,src/content/blog/extra-web/we-are-dads-of-disabled-children-a-different-way-of-love.md
INS-11/a-te-bambino-mio,A te bambino mio,INS-11,1976,it,src/content/blog/INS-11/a-te-bambino-mio.md
INS-11/a-tutti-i-gruppi-fede-e-luce,A tutti i gruppi Fede e Luce,INS-11,1976,it,src/content/blog/INS-11/a-tutti-i-gruppi-fede-e-luce.md
