id_articolo,titolo,url_articolo,img_copertina_url,sottotitolo,id_autore
43,Ombre e luci?,https://www.ombreeluci.it/?p=43,https://www.ombreeluci.it/wp-content/uploads/2017/10/10.jpg,,marielene-mathieu
65,Editoriale n.1,https://www.ombreeluci.it/?p=65,https://www.ombreeluci.it/wp-content/uploads/2017/10/uno.jpg,,redazione
67,L’esperienza della solitudine,https://www.ombreeluci.it/?p=67,https://www.ombreeluci.it/wp-content/uploads/2017/10/3.jpg,,jacqueline-e-henri-faivre
76,Difficoltà loro o nostra?,https://www.ombreeluci.it/?p=76,https://www.ombreeluci.it/wp-content/uploads/2017/10/oel_n1_fabiodanilogianni-fx-169.jpg,"La Messa è, intorno a Gesù e in Lui, la cena di famiglia dei figli di Dio, nella casa del Padre.",henri-bissonier
88,Ti aspetto sempre,https://www.ombreeluci.it/?p=88,https://www.ombreeluci.it/wp-content/uploads/2017/10/7.jpg,,jean-vanier
224,Il mio bambino con la sindrome di Down,https://www.ombreeluci.it/?p=224,https://www.ombreeluci.it/wp-content/uploads/2017/10/P_20171010_223739.png,,mariangela-bertolini
228,Vacanze con la differenza nel cuore,https://www.ombreeluci.it/?p=228,https://www.ombreeluci.it/wp-content/uploads/2017/10/P_20171011_092323.jpg,,anna-cece
300,Nessuno aveva pensato che Patrick avrebbe preso parte alla gita,https://www.ombreeluci.it/?p=300,https://www.ombreeluci.it/wp-content/uploads/2017/10/P_20171011_092100.jpg,,mariangela-bertolini
313,Con loro sono salito sul monte Méta,https://www.ombreeluci.it/?p=313,https://www.ombreeluci.it/wp-content/uploads/2017/10/P_20171011_092418.jpg,,patrick-thonon
325,Per la prima volta lontano da me,https://www.ombreeluci.it/?p=325,https://www.ombreeluci.it/wp-content/uploads/2017/10/P_20171011_092402-1.jpg,,rita-ozzimo
328,Insieme sì. Ma come,https://www.ombreeluci.it/?p=328,https://www.ombreeluci.it/wp-content/uploads/2017/10/P_20171011_092445-1.jpg,,nicole-schulthes
330,…ed è stata una vera vacanza,https://www.ombreeluci.it/?p=330,https://www.ombreeluci.it/wp-content/uploads/2017/10/P_20171011_092515.jpg,,agnes-auschitzky
340,Un’altra proposta di vacanze con persone con handicap: i soggiorni invernali,https://www.ombreeluci.it/?p=340,https://www.ombreeluci.it/wp-content/uploads/2017/10/P_20171011_092535.jpg,,lucia-bertolini
342,"Ogni luglio, prestare una casa",https://www.ombreeluci.it/?p=342,https://www.ombreeluci.it/wp-content/uploads/2017/10/uno.jpg,,redazione
353,Gli altri,https://www.ombreeluci.it/?p=353,https://www.ombreeluci.it/wp-content/uploads/1983/07/P_20171011_092337.jpg,,marielene-mathieu
371,"Dialogo aperto, n. 3",https://www.ombreeluci.it/?p=371,https://www.ombreeluci.it/wp-content/uploads/1983/06/dialogo-aperto-archivio.jpg,,redazione
603,Il Chicco: una casa per Fabio e Maria,https://www.ombreeluci.it/?p=603,https://www.ombreeluci.it/wp-content/uploads/2017/10/4.jpg,Da un campeggio di Fede e Luce all'accoglienza di Fabio e Maria: la storia di una casa famiglia dell'Arche nata dal desiderio di dare una famiglia ai bambini disabili dei brefotrofi.,guenda-malvezzi
607,Speranza a dura prova,https://www.ombreeluci.it/?p=607,https://www.ombreeluci.it/wp-content/uploads/1983/04/oel_n2_conoscere_l_handicap002_fx.jpg,,redazione
609,"Dialogo aperto, n .2",https://www.ombreeluci.it/?p=609,https://www.ombreeluci.it/wp-content/uploads/1983/06/dialogo-aperto-archivio.jpg,,redazione
612,Lorenza: prima di essere la nostra figlia handicappata è stata la “nostra figlia”,https://www.ombreeluci.it/?p=612,https://www.ombreeluci.it/wp-content/uploads/1983/05/oel_n2_conoscere_l_handicap003_fx.jpg,,marieclaudefabre
617,La paralisi cerebrale infantile,https://www.ombreeluci.it/?p=617,https://www.ombreeluci.it/wp-content/uploads/1983/05/oel_n2_conoscere_l_handicap007_fx.jpg,,rogersalbreux
764,Nessuno resti solo,https://www.ombreeluci.it/?p=764,https://www.ombreeluci.it/wp-content/uploads/2017/10/copertina-4-15-cut-e1508931183389.jpg,,cristina-tersigni
767,La lezione del femminismo,https://www.ombreeluci.it/?p=767,https://www.ombreeluci.it/wp-content/uploads/2015/12/nicla-massi.jpg,,redazione
774,Figli delle stelle,https://www.ombreeluci.it/?p=774,https://www.ombreeluci.it/wp-content/uploads/2015/12/stefano-ragazze.jpg,,stefano-di-franco
